key,group,subgroup,model,prompt,subject,window,true_label,n_citations_raw,latency_sec,local_faithfulness,local_relevance,local_completeness
dalia|S1|w1,dalia,main,qwen3.5:9b,150,1,,,3,46.0,2,3,2
dalia|S1|w6,dalia,main,qwen3.5:9b,150,1,,,3,11.42,0,0,0
dalia|S1|w13,dalia,main,qwen3.5:9b,150,1,,,4,11.23,2,3,2
dalia|S1|w76,dalia,main,qwen3.5:9b,150,1,,,2,9.72,3,3,3
dalia|S1|w98,dalia,main,qwen3.5:9b,150,1,,,4,9.31,3,3,3
dalia|S1|w99,dalia,main,qwen3.5:9b,150,1,,,1,10.09,2,3,2
dalia|S1|w102,dalia,main,qwen3.5:9b,150,1,,,4,10.22,2,3,2
dalia|S1|w103,dalia,main,qwen3.5:9b,150,1,,,3,10.2,3,3,3
dalia|S1|w135,dalia,main,qwen3.5:9b,150,1,,,2,10.98,3,3,3
dalia|S1|w291,dalia,main,qwen3.5:9b,150,1,,,3,10.65,2,3,2
dalia|S1|w297,dalia,main,qwen3.5:9b,150,1,,,3,11.59,3,3,3
dalia|S2|w328,dalia,main,qwen3.5:9b,150,2,,,2,10.51,2,3,2
dalia|S2|w350,dalia,main,qwen3.5:9b,150,2,,,4,15.16,0,0,0
dalia|S2|w351,dalia,main,qwen3.5:9b,150,2,,,2,12.7,3,3,3
dalia|S2|w352,dalia,main,qwen3.5:9b,150,2,,,3,12.94,0,0,0
dalia|S2|w353,dalia,main,qwen3.5:9b,150,2,,,1,11.56,3,3,3
dalia|S2|w357,dalia,main,qwen3.5:9b,150,2,,,2,10.92,2,3,2
dalia|S2|w358,dalia,main,qwen3.5:9b,150,2,,,5,13.87,2,3,2
dalia|S2|w359,dalia,main,qwen3.5:9b,150,2,,,1,11.48,3,3,3
dalia|S2|w360,dalia,main,qwen3.5:9b,150,2,,,2,11.91,2,3,2
dalia|S2|w363,dalia,main,qwen3.5:9b,150,2,,,5,11.4,3,3,3
dalia|S2|w364,dalia,main,qwen3.5:9b,150,2,,,5,10.53,2,3,2
dalia|S2|w388,dalia,main,qwen3.5:9b,150,2,,,2,12.38,3,3,3
dalia|S2|w389,dalia,main,qwen3.5:9b,150,2,,,4,12.15,3,3,3
dalia|S2|w398,dalia,main,qwen3.5:9b,150,2,,,3,10.31,2,3,3
dalia|S2|w399,dalia,main,qwen3.5:9b,150,2,,,2,9.17,3,3,3
dalia|S2|w400,dalia,main,qwen3.5:9b,150,2,,,4,26.78,2,3,2
dalia|S2|w401,dalia,main,qwen3.5:9b,150,2,,,3,11.72,2,3,2
dalia|S2|w402,dalia,main,qwen3.5:9b,150,2,,,2,11.05,2,3,2
dalia|S2|w403,dalia,main,qwen3.5:9b,150,2,,,3,11.7,2,3,2
dalia|S2|w404,dalia,main,qwen3.5:9b,150,2,,,2,11.43,2,3,2
dalia|S2|w405,dalia,main,qwen3.5:9b,150,2,,,5,11.68,2,3,2
dalia|S2|w406,dalia,main,qwen3.5:9b,150,2,,,4,11.45,2,3,2
dalia|S2|w440,dalia,main,qwen3.5:9b,150,2,,,3,10.51,2,3,3
dalia|S2|w441,dalia,main,qwen3.5:9b,150,2,,,3,10.09,2,3,2
dalia|S2|w442,dalia,main,qwen3.5:9b,150,2,,,1,10.58,3,3,3
dalia|S2|w473,dalia,main,qwen3.5:9b,150,2,,,2,10.79,3,3,3
dalia|S2|w490,dalia,main,qwen3.5:9b,150,2,,,2,10.82,0,0,0
dalia|S2|w503,dalia,main,qwen3.5:9b,150,2,,,3,9.97,3,3,2
dalia|S2|w574,dalia,main,qwen3.5:9b,150,2,,,2,10.78,3,3,3
dalia|S3|w581,dalia,main,qwen3.5:9b,150,3,,,2,11.62,0,0,0
dalia|S3|w637,dalia,main,qwen3.5:9b,150,3,,,3,9.85,3,3,3
dalia|S3|w685,dalia,main,qwen3.5:9b,150,3,,,1,10.0,3,3,3
dalia|S3|w689,dalia,main,qwen3.5:9b,150,3,,,1,10.82,2,3,2
dalia|S3|w711,dalia,main,qwen3.5:9b,150,3,,,2,10.21,0,0,0
dalia|S3|w788,dalia,main,qwen3.5:9b,150,3,,,3,11.35,0,0,0
dalia|S3|w789,dalia,main,qwen3.5:9b,150,3,,,3,11.27,0,0,0
dalia|S3|w813,dalia,main,qwen3.5:9b,150,3,,,4,10.97,2,3,2
dalia|S3|w820,dalia,main,qwen3.5:9b,150,3,,,4,10.91,3,3,3
dalia|S3|w824,dalia,main,qwen3.5:9b,150,3,,,2,9.44,3,3,3
dalia|S3|w841,dalia,main,qwen3.5:9b,150,3,,,2,11.1,3,3,3
dalia|S3|w849,dalia,main,qwen3.5:9b,150,3,,,6,12.3,2,3,2
dalia|S3|w851,dalia,main,qwen3.5:9b,150,3,,,3,10.19,3,3,2
dalia|S3|w861,dalia,main,qwen3.5:9b,150,3,,,3,9.8,2,3,2
dalia|S3|w862,dalia,main,qwen3.5:9b,150,3,,,2,9.25,3,3,3
dalia|S4|w879,dalia,main,qwen3.5:9b,150,4,,,3,11.46,3,3,3
dalia|S4|w898,dalia,main,qwen3.5:9b,150,4,,,2,9.56,2,3,2
dalia|S4|w976,dalia,main,qwen3.5:9b,150,4,,,4,12.41,3,3,3
dalia|S4|w982,dalia,main,qwen3.5:9b,150,4,,,3,9.9,2,3,2
dalia|S4|w983,dalia,main,qwen3.5:9b,150,4,,,3,10.58,0,0,0
dalia|S4|w1018,dalia,main,qwen3.5:9b,150,4,,,3,11.2,2,3,2
dalia|S4|w1081,dalia,main,qwen3.5:9b,150,4,,,3,12.85,3,3,3
dalia|S4|w1108,dalia,main,qwen3.5:9b,150,4,,,3,10.01,2,3,2
dalia|S4|w1129,dalia,main,qwen3.5:9b,150,4,,,2,9.58,3,3,3
dalia|S5|w1192,dalia,main,qwen3.5:9b,150,5,,,2,8.26,3,3,2
dalia|S5|w1221,dalia,main,qwen3.5:9b,150,5,,,3,9.09,3,3,3
dalia|S5|w1223,dalia,main,qwen3.5:9b,150,5,,,3,9.14,3,3,3
dalia|S5|w1224,dalia,main,qwen3.5:9b,150,5,,,3,9.06,3,3,3
dalia|S5|w1225,dalia,main,qwen3.5:9b,150,5,,,5,11.45,2,3,2
dalia|S5|w1226,dalia,main,qwen3.5:9b,150,5,,,3,10.78,2,3,2
dalia|S5|w1227,dalia,main,qwen3.5:9b,150,5,,,3,12.64,2,3,0
dalia|S5|w1228,dalia,main,qwen3.5:9b,150,5,,,3,9.49,3,3,3
dalia|S5|w1229,dalia,main,qwen3.5:9b,150,5,,,3,9.66,2,3,2
dalia|S5|w1230,dalia,main,qwen3.5:9b,150,5,,,3,11.39,2,3,2
dalia|S5|w1248,dalia,main,qwen3.5:9b,150,5,,,4,12.26,2,3,2
dalia|S5|w1257,dalia,main,qwen3.5:9b,150,5,,,4,10.55,3,3,3
dalia|S5|w1258,dalia,main,qwen3.5:9b,150,5,,,2,9.43,2,3,2
dalia|S5|w1259,dalia,main,qwen3.5:9b,150,5,,,3,11.71,0,0,0
dalia|S5|w1260,dalia,main,qwen3.5:9b,150,5,,,3,12.75,2,3,2
dalia|S5|w1261,dalia,main,qwen3.5:9b,150,5,,,2,9.69,3,3,3
dalia|S5|w1262,dalia,main,qwen3.5:9b,150,5,,,2,11.3,2,3,2
dalia|S5|w1263,dalia,main,qwen3.5:9b,150,5,,,1,8.72,2,3,2
dalia|S5|w1264,dalia,main,qwen3.5:9b,150,5,,,3,10.77,3,3,3
dalia|S5|w1266,dalia,main,qwen3.5:9b,150,5,,,5,11.34,2,3,2
dalia|S5|w1267,dalia,main,qwen3.5:9b,150,5,,,2,8.49,2,3,2
dalia|S5|w1268,dalia,main,qwen3.5:9b,150,5,,,5,10.63,3,3,3
dalia|S5|w1269,dalia,main,qwen3.5:9b,150,5,,,3,8.95,3,3,3
dalia|S5|w1270,dalia,main,qwen3.5:9b,150,5,,,4,9.3,3,3,3
dalia|S5|w1271,dalia,main,qwen3.5:9b,150,5,,,6,13.43,3,3,3
dalia|S5|w1272,dalia,main,qwen3.5:9b,150,5,,,3,10.55,3,3,3
dalia|S5|w1273,dalia,main,qwen3.5:9b,150,5,,,4,12.08,3,3,3
dalia|S5|w1274,dalia,main,qwen3.5:9b,150,5,,,4,10.35,2,3,2
dalia|S5|w1276,dalia,main,qwen3.5:9b,150,5,,,6,10.7,3,3,3
dalia|S5|w1277,dalia,main,qwen3.5:9b,150,5,,,2,10.23,2,3,2
dalia|S5|w1278,dalia,main,qwen3.5:9b,150,5,,,2,11.94,2,3,2
dalia|S5|w1312,dalia,main,qwen3.5:9b,150,5,,,3,9.45,2,3,2
dalia|S5|w1329,dalia,main,qwen3.5:9b,150,5,,,6,10.72,3,3,3
dalia|S5|w1381,dalia,main,qwen3.5:9b,150,5,,,2,10.58,3,3,3
dalia|S5|w1422,dalia,main,qwen3.5:9b,150,5,,,3,11.44,0,0,0
dalia|S5|w1451,dalia,main,qwen3.5:9b,150,5,,,3,10.92,2,3,2
dalia|S5|w1473,dalia,main,qwen3.5:9b,150,5,,,3,10.94,3,3,3
dalia|S6|w1485,dalia,main,qwen3.5:9b,150,6,,,2,9.36,3,3,3
dalia|S6|w1486,dalia,main,qwen3.5:9b,150,6,,,2,10.13,3,3,3
dalia|S6|w1496,dalia,main,qwen3.5:9b,150,6,,,5,10.96,2,3,2
dalia|S6|w1497,dalia,main,qwen3.5:9b,150,6,,,2,8.71,3,3,3
dalia|S6|w1500,dalia,main,qwen3.5:9b,150,6,,,2,10.2,0,0,0
dalia|S6|w1514,dalia,main,qwen3.5:9b,150,6,,,1,10.38,0,0,0
dalia|S6|w1527,dalia,main,qwen3.5:9b,150,6,,,4,10.12,3,3,3
dalia|S6|w1529,dalia,main,qwen3.5:9b,150,6,,,3,10.03,3,3,3
dalia|S6|w1534,dalia,main,qwen3.5:9b,150,6,,,2,9.23,3,3,2
dalia|S6|w1542,dalia,main,qwen3.5:9b,150,6,,,3,11.44,2,3,2
dalia|S6|w1562,dalia,main,qwen3.5:9b,150,6,,,6,13.43,2,3,2
dalia|S6|w1574,dalia,main,qwen3.5:9b,150,6,,,1,10.65,2,3,2
dalia|S6|w1579,dalia,main,qwen3.5:9b,150,6,,,3,11.59,2,3,2
dalia|S6|w1582,dalia,main,qwen3.5:9b,150,6,,,2,12.7,3,3,3
dalia|S6|w1584,dalia,main,qwen3.5:9b,150,6,,,1,9.82,2,3,2
dalia|S6|w1586,dalia,main,qwen3.5:9b,150,6,,,3,12.2,0,0,0
dalia|S6|w1587,dalia,main,qwen3.5:9b,150,6,,,3,11.07,0,0,0
dalia|S6|w1589,dalia,main,qwen3.5:9b,150,6,,,4,11.43,2,3,2
dalia|S6|w1590,dalia,main,qwen3.5:9b,150,6,,,3,11.77,2,3,2
dalia|S6|w1591,dalia,main,qwen3.5:9b,150,6,,,3,11.53,2,3,2
dalia|S6|w1592,dalia,main,qwen3.5:9b,150,6,,,3,13.06,2,0,0
dalia|S6|w1594,dalia,main,qwen3.5:9b,150,6,,,5,13.19,2,3,2
dalia|S6|w1595,dalia,main,qwen3.5:9b,150,6,,,3,12.12,3,3,3
dalia|S6|w1596,dalia,main,qwen3.5:9b,150,6,,,3,12.69,2,3,2
dalia|S6|w1597,dalia,main,qwen3.5:9b,150,6,,,3,10.58,2,3,2
dalia|S6|w1598,dalia,main,qwen3.5:9b,150,6,,,2,10.79,2,3,2
dalia|S6|w1599,dalia,main,qwen3.5:9b,150,6,,,2,11.97,2,3,2
dalia|S6|w1600,dalia,main,qwen3.5:9b,150,6,,,3,11.63,2,3,2
dalia|S6|w1601,dalia,main,qwen3.5:9b,150,6,,,2,9.55,3,3,3
dalia|S6|w1602,dalia,main,qwen3.5:9b,150,6,,,3,10.5,2,3,3
dalia|S6|w1603,dalia,main,qwen3.5:9b,150,6,,,4,13.16,2,2,2
dalia|S6|w1604,dalia,main,qwen3.5:9b,150,6,,,4,14.02,2,3,2
dalia|S6|w1605,dalia,main,qwen3.5:9b,150,6,,,2,10.59,3,3,2
dalia|S6|w1606,dalia,main,qwen3.5:9b,150,6,,,2,10.51,3,3,3
dalia|S6|w1609,dalia,main,qwen3.5:9b,150,6,,,3,11.46,2,3,2
dalia|S6|w1610,dalia,main,qwen3.5:9b,150,6,,,4,12.55,2,3,2
dalia|S6|w1611,dalia,main,qwen3.5:9b,150,6,,,6,12.9,2,3,2
dalia|S6|w1614,dalia,main,qwen3.5:9b,150,6,,,2,12.29,2,3,2
dalia|S6|w1616,dalia,main,qwen3.5:9b,150,6,,,3,10.22,3,3,3
dalia|S6|w1617,dalia,main,qwen3.5:9b,150,6,,,2,10.93,3,3,3
dalia|S6|w1619,dalia,main,qwen3.5:9b,150,6,,,2,11.96,2,3,2
dalia|S6|w1620,dalia,main,qwen3.5:9b,150,6,,,3,9.82,3,3,3
dalia|S6|w1623,dalia,main,qwen3.5:9b,150,6,,,3,12.4,2,3,0
dalia|S6|w1624,dalia,main,qwen3.5:9b,150,6,,,3,12.55,3,3,3
dalia|S6|w1625,dalia,main,qwen3.5:9b,150,6,,,4,11.33,2,3,2
dalia|S6|w1626,dalia,main,qwen3.5:9b,150,6,,,2,9.91,2,3,2
dalia|S6|w1627,dalia,main,qwen3.5:9b,150,6,,,3,10.28,3,3,3
dalia|S6|w1629,dalia,main,qwen3.5:9b,150,6,,,3,10.56,2,3,2
dalia|S7|w1715,dalia,main,qwen3.5:9b,150,7,,,1,12.52,2,3,2
dalia|S7|w1762,dalia,main,qwen3.5:9b,150,7,,,3,11.64,2,3,2
