subject,window_idx,query_v2,flag_if,flag_lof,score_if,score_lof,z_ecg,z_resp,z_bvp,z_wrist_eda,z_wrist_temp,top2
1,1,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated bvp (z=+0.8 vs subject baseline, mean=0.73) elevated resp (z=+0.7 vs subject baseline, mean=0.16) Relevant topics: photoplethysmography pulse waveform amplitude perfusion signal quality motion artifact atrial fibrillation screening respiration rate breathing pattern tachypnea bradypnea ventilation. Other readings: ecg mean=0.00, wrist_eda mean=6.66, wrist_temp mean=32.02.",False,True,0.4335,1.3521,0.49,0.663,0.788,0.461,-0.442,"bvp,resp"
1,6,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated resp (z=+1.0 vs subject baseline, mean=0.21) reduced wrist_temp (z=-0.5 vs subject baseline, mean=32.00) Relevant topics: respiration rate breathing pattern tachypnea bradypnea ventilation skin temperature thermal perfusion vasomotor ambient temperature sensor effects. Other readings: ecg mean=0.00, bvp mean=-0.37, wrist_eda mean=5.47.",False,True,0.4375,1.358,-0.043,0.986,-0.393,0.035,-0.456,"resp,wrist_temp"
1,13,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). reduced wrist_eda (z=-0.6 vs subject baseline, mean=3.63) reduced wrist_temp (z=-0.4 vs subject baseline, mean=32.05) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response skin temperature thermal perfusion vasomotor ambient temperature sensor effects. Other readings: ecg mean=-0.00, resp mean=-0.01, bvp mean=0.24.",False,True,0.425,1.2885,-0.315,-0.367,0.262,-0.623,-0.425,"wrist_eda,wrist_temp"
1,76,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). reduced bvp (z=-4.2 vs subject baseline, mean=-3.90) reduced wrist_temp (z=-1.3 vs subject baseline, mean=30.76) Relevant topics: photoplethysmography pulse waveform amplitude perfusion signal quality motion artifact atrial fibrillation screening skin temperature thermal perfusion vasomotor ambient temperature sensor effects. Other readings: ecg mean=0.00, resp mean=0.05, wrist_eda mean=5.56.",False,True,0.4428,1.3334,0.017,-0.006,-4.193,0.07,-1.272,"bvp,wrist_temp"
1,98,"Biosignal window flagged by both anomaly detectors (Isolation Forest and LOF). Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated wrist_eda (z=+2.9 vs subject baseline, mean=13.61) reduced resp (z=-2.0 vs subject baseline, mean=-0.28) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response respiration rate breathing pattern tachypnea bradypnea ventilation. Other readings: ecg mean=-0.00, bvp mean=1.58, wrist_temp mean=30.00.",True,True,0.5264,1.5333,-1.455,-2.008,1.706,2.946,-1.768,"wrist_eda,resp"
1,99,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show a sustained level shift from this subject's baseline. reduced resp (z=-3.5 vs subject baseline, mean=-0.53) elevated wrist_eda (z=+3.5 vs subject baseline, mean=15.17) Relevant topics: respiration rate breathing pattern tachypnea bradypnea ventilation electrodermal activity skin conductance sympathetic stress arousal sweat response. Other readings: ecg mean=0.00, bvp mean=0.68, wrist_temp mean=30.03.",False,True,0.4834,1.293,0.347,-3.506,0.739,3.503,-1.749,"resp,wrist_eda"
1,102,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated wrist_eda (z=+2.7 vs subject baseline, mean=13.00) reduced wrist_temp (z=-1.5 vs subject baseline, mean=30.46) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response skin temperature thermal perfusion vasomotor ambient temperature sensor effects. Other readings: ecg mean=0.00, resp mean=0.02, bvp mean=-0.02.",False,True,0.4964,1.3229,0.381,-0.156,-0.017,2.73,-1.466,"wrist_eda,wrist_temp"
1,103,"Biosignal window flagged by both anomaly detectors (Isolation Forest and LOF). Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated wrist_eda (z=+2.7 vs subject baseline, mean=12.87) reduced wrist_temp (z=-1.3 vs subject baseline, mean=30.66) Relevant topics: electrodermal activity skin conductance sympathetic stress arousal sweat response skin temperature thermal perfusion vasomotor ambient temperature sensor effects. Other readings: ecg mean=0.00, resp mean=0.03, bvp mean=0.61.",True,True,0.5061,1.3084,0.965,-0.142,0.658,2.684,-1.336,"wrist_eda,wrist_temp"
1,135,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show a sustained level shift from this subject's baseline. elevated resp (z=+7.4 vs subject baseline, mean=1.28) elevated ecg (z=+0.6 vs subject baseline, mean=0.00) Relevant topics: respiration rate breathing pattern tachypnea bradypnea ventilation electrocardiogram rhythm irregularity heart rate variability arrhythmia ectopic beats atrial fibrillation. Other readings: bvp mean=-0.18, wrist_eda mean=5.66, wrist_temp mean=33.08.",False,True,0.4125,1.5664,0.649,7.427,-0.195,0.105,0.254,"resp,ecg"
1,291,"Biosignal window flagged by the LOF anomaly detector. Deviating channels show an abrupt, high-amplitude pattern (elevated kurtosis/peak-to-peak vs this subject's baseline). elevated wrist_temp (z=+1.1 vs subject baseline, mean=34.33) reduced wrist_eda (z=-1.1 vs subject baseline, mean=2.40) Relevant topics: skin temperature thermal perfusion vasomotor ambient temperature sensor effects electrodermal activity skin conductance sympathetic stress arousal sweat response. Other readings: ecg mean=0.00, resp mean=0.14, bvp mean=-0.30.",False,True,0.4187,1.452,-0.281,0.536,-0.316,-1.062,1.075,"wrist_temp,wrist_eda"
